id,time,mood,appCat.communication,appCat.other,sms,circumplex.valence,screen,appCat.entertainment,appCat.weather,appCat.social,appCat.game,appCat.office,call,appCat.builtin,appCat.finance,circumplex.arousal,activity,appCat.utilities,appCat.unknown,appCat.travel
AS14.01,2014-03-24 18:00:00,5.0,1320.211,9.022,0.0,-1.0,1742.1829993724818,6.041,0.0,131.254,0.0,0.0,7.0,256.355,19.061,-1.0,0.453781512605042,0.0,0.0,0.0
AS14.01,2014-03-24 21:00:00,7.0,1914.992,12.086,0.0,1.0,2774.31500005722,0.0,0.0,776.567,0.0,0.0,2.0,71.20400000000001,0.0,0.0,0.1940606751175049,0.0,0.0,0.0
AS14.01,2014-03-25 09:00:00,6.0,2902.225,11.039,0.0,0.0,5923.262000083923,0.0,0.0,914.418,0.0,0.0,0.0,216.922,0.0,1.0,0.22930127856425742,0.0,0.0,0.0
AS14.01,2014-03-25 15:00:00,7.0,2658.167,13.211,1.0,1.0,2560.566999435424,0.0,0.0,108.005,0.0,0.0,0.0,72.514,0.0,1.0,1.3320824881676816,0.0,0.0,0.0
AS14.01,2014-03-25 20:00:00,8.0,1627.391,9.081,0.0,1.0,5518.922999620434,18.066,0.0,447.87699999999995,0.0,0.0,0.0,460.854,0.0,1.0,0.6494034270599733,74.431,235.223,0.0
AS14.01,2014-03-25 21:00:00,6.0,810.825,107.325,0.0,0.0,1053.0510003566749,0.0,0.0,57.105000000000004,0.0,0.0,0.0,9.049,43.054,-1.0,0.0427350427350427,0.0,0.0,0.0
AS14.01,2014-03-26 09:00:00,7.0,6649.883,49.202,0.0,1.0,9381.196999549858,170.513,0.0,747.569,0.0,0.0,0.0,451.267,0.0,-2.0,0.2085434173669464,148.462,0.0,0.0
AS14.01,2014-03-26 12:00:00,6.0,991.072,51.010999999999996,0.0,0.0,5166.826000213621,602.253,0.0,2166.356,0.0,0.0,0.0,418.822,0.0,0.0,0.37864416802469814,0.0,0.0,0.0
AS14.01,2014-03-26 15:00:00,7.0,1376.527,13.182,0.0,1.0,1639.5789999961855,0.0,0.0,38.945,0.0,0.0,0.0,188.638,20.175,1.0,0.3056638319678035,0.0,0.0,0.0
AS14.01,2014-03-26 18:00:00,6.0,1795.468,7.02,0.0,0.0,2046.9520003795626,0.0,0.0,192.645,0.0,0.0,0.0,53.705,0.0,1.0,1.288135593220339,0.0,0.0,0.0
AS14.01,2014-03-26 21:00:00,7.0,426.262,13.236,0.0,1.0,1002.6510000228882,0.0,0.0,538.19,0.0,0.0,0.0,24.143,0.0,-1.0,0.2955784028980371,0.0,0.0,0.0
AS14.01,2014-03-27 09:00:00,7.0,3688.358,13.049,1.0,1.0,8005.919999599453,261.371,0.0,2071.1150000000002,0.0,0.0,0.0,630.222,32.156,1.0,0.2051856335754641,33.365,0.0,0.0
AS14.01,2014-03-27 14:00:00,7.0,2179.993,11.222000000000001,0.0,1.0,10661.630999803545,42.259,0.0,43.381,0.0,145.744,0.0,673.752,0.0,1.0,1.4089528023598819,0.0,0.0,0.0
AS14.01,2014-03-27 15:00:00,7.0,158.964,9.056,0.0,1.0,229.1900000572204,23.235,0.0,26.111,0.0,0.0,2.0,84.798,0.0,1.0,0.630252100840336,39.101,0.0,0.0
AS14.01,2014-03-27 17:00:00,7.0,212.037,10.164,0.0,1.0,238.09399962425218,0.0,0.0,0.0,0.0,0.0,0.0,15.94,0.0,-1.0,0.369747899159664,0.0,0.0,0.0
AS14.01,2014-03-27 23:00:00,7.0,3238.301,21.071,0.0,0.0,4483.456000089645,500.32699999999994,0.0,160.468,0.0,36.707,0.0,125.407,42.219,-1.0,0.9834733893557426,124.83999999999999,0.0,47.314
AS14.01,2014-03-28 10:00:00,5.0,298.296,7.019,0.0,-1.0,684.4690003395083,130.555,0.0,0.0,0.0,0.0,0.0,9340.609999999999,35.822,-1.0,0.0672268907563025,15.088,0.0,0.0
AS14.01,2014-03-28 12:00:00,6.0,104.529,39.172,0.0,1.0,724.5620000362396,4.023,0.0,80.691,0.0,0.0,0.0,88.562,0.0,0.0,0.1176470588235296,188.15300000000002,0.0,219.085
AS14.01,2014-03-28 15:00:00,8.0,232.144,30.352,0.0,2.0,1389.4210000038147,69.27799999999999,0.0,222.796,0.0,0.0,4.0,251.937,0.0,-1.0,1.0504201680672274,58.252,0.0,870.399
AS14.01,2014-03-28 18:00:00,6.0,127.028,32.125,0.0,0.0,375.9989998340613,0.0,0.0,91.225,0.0,0.0,0.0,100.865,0.0,0.0,0.6902310924369751,0.0,0.0,24.378
AS14.01,2014-03-28 21:00:00,7.0,204.143,114.258,0.0,1.0,1800.0330002307896,668.79,0.0,118.029,233.036,0.0,1.0,195.135,53.344,-1.0,0.2850140056022409,55.312,0.0,19.147
AS14.01,2014-03-29 10:00:00,8.0,92.829,10.044,0.0,1.0,355.153999567032,132.757,0.0,0.0,0.0,0.0,0.0,190.012,0.0,1.0,0.35299145299145307,37.299,0.0,0.0
AS14.01,2014-03-29 11:00:00,8.0,12.771,9.028,0.0,1.0,35.32499980926512,0.0,0.0,0.0,0.0,0.0,0.0,9.089,0.0,-1.0,0.0353982300884956,0.0,0.0,0.0
AS14.01,2014-03-29 16:00:00,9.0,882.5020000000001,95.54599999999999,0.0,1.0,3367.9049997329753,801.694,0.0,442.771,0.0,0.0,0.0,109.1,0.0,0.0,0.37097428715075864,211.212,0.0,52.434999999999995
AS14.01,2014-03-29 18:00:00,8.0,474.089,39.625,0.0,1.0,794.2409996986385,328.079,0.0,30.116999999999997,0.0,0.0,0.0,128.898,0.0,0.0,0.492020661475599,97.234,0.0,0.0
AS14.01,2014-03-29 21:00:00,7.0,911.938,12.361,1.0,1.0,1179.4680004119866,30.133,0.0,0.0,0.0,0.0,4.0,100.142,0.0,1.0,0.33494397759103633,124.27199999999999,0.0,0.0
AS14.01,2014-03-30 11:00:00,8.0,469.859,13.034,0.0,1.0,4361.994999885558,955.671,0.0,0.0,0.0,0.0,0.0,1581.6689999999999,0.0,0.0,0.5573870573870578,130.62,66.477,0.0
AS14.01,2014-03-30 12:00:00,7.0,290.846,13.23,0.0,0.0,908.1579999923708,315.727,0.0,157.465,0.0,0.0,0.0,145.976,0.0,0.0,0.0916666666666667,0.0,0.0,0.0
AS14.01,2014-03-30 15:00:00,8.0,0.0,9.155,0.0,1.0,12.1200001239777,0.0,0.0,0.0,0.0,0.0,0.0,2.934,0.0,-1.0,0.0333333333333333,0.0,0.0,0.0
AS14.01,2014-03-30 21:00:00,7.0,268.418,44.416,0.0,1.0,921.5800006389626,401.289,0.0,0.0,0.0,0.0,0.0,168.629,0.0,-1.0,0.025,38.296,0.0,0.0
AS14.01,2014-03-31 09:00:00,7.0,652.588,7.202,0.0,1.0,1134.8320004940033,330.513,0.0,10.22,0.0,0.0,0.0,133.697,0.0,-1.0,0.26196581196581203,0.0,0.0,0.0
AS14.01,2014-03-31 12:00:00,7.0,222.786,80.229,0.0,0.0,1578.447000026702,184.492,0.0,752.3019999999999,0.0,0.0,5.0,296.895,0.0,1.0,0.1343837535014006,0.0,0.0,41.176
AS14.01,2014-03-31 15:00:00,7.0,211.903,9.242,0.0,0.0,341.66799998283375,0.0,0.0,0.0,51.176,0.0,0.0,69.257,0.0,-1.0,0.0505625979205242,0.0,0.0,0.0
AS14.01,2014-03-31 18:00:00,8.0,490.138,11.165,0.0,1.0,1390.5849997997277,332.005,0.0,113.764,0.0,0.0,1.0,1976.154,41.254999999999995,0.0,0.8809917355371899,0.0,29.29,63.756
